Quarter,Category,Code,Name,Measure,Start Amount,Start Cost,Flow In Amount,Flow In Cost,Flow Out Amount,Flow Out Cost,End Amount,End Cost
20221,105.34,02-000000002970,"Клей Момент Столяр Экспресс,750г",шт,,,2.0,820.8,,,2.0,820.8
20221,105.34,02-000000002969,"Клей монтажный «Tytanprofessional» ClassicFixкаучуковый, прозрачный 310мл",шт,,,6.0,2851.2,2.0,950.4,4.0,1900.8
20221,105.34,02-000000002971,"Клей ПВА TYTAN PROFESSIONAL WB 33D3 для древесины,белый750г",шт,,,3.0,2397.6,,,3.0,2397.6
20221,105.34,02-000000002977,Крепежный уголок 50х50х35х2,шт,,,100.0,2224.0,,,100.0,2224.0
20221,105.35,02-000000002551,"Ботинки кожаные ""Стандарт-М"" утепленные, ПУ/ТПУ, с внутренними металлическими защитными носками р.43",пар,2.0,4230.92,,,,,2.0,4230.92
20221,105.35,02-000000002557,Держатель предфильтров UNIX,упак,2.0,162.58,,,,,2.0,162.58
20221,105.35,02-000000002563,"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р. 96-100/170-176",шт,4.0,13902.72,,,,,4.0,13902.72
20221,105.35,02-000000002564,"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р. 96-100/182-188",шт,2.0,6951.36,,,,,2.0,6951.36
20221,105.35,02-000000002565,"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р.104-108/182-188",шт,10.0,34756.8,,,,,10.0,34756.8
20221,105.35,02-000000002569,"Куртка мужская ""Зима"" для защиты от пониженных температур р. 104-108/182-188",шт,1.0,2257.25,,,,,1.0,2257.25
20221,105.35,02-000000002544,"Очки открытые ""Феос Ван"" UVEX (9192370) прозрачная линза, покрытие supravision excellence",шт,1.0,409.29,,,,,1.0,409.29
20221,105.35,02-000000002553,"Перчатки трикотажные ""Сити"" для защиты рук от механических взаимодействий и ОПЗ/ПВХ-покрытие/ р.9",пар,40.0,1323.2,,,,,40.0,1323.2
20221,105.35,02-000000002548,"Плащ мужской ""Циклон"" для защиты от нефти, нефтепродуктов, воды с СВ полосой р. 104-108/182-188",шт,3.0,5254.77,,,,,3.0,5254.77
20221,105.35,02-000000002546,"Плащ мужской ""Циклон"" для защиты от нефти, нефтепродуктов, воды с СВ полосой р. 96-100/170-176",шт,1.0,1751.59,,,,,1.0,1751.59
20221,105.35,02-000000002539,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.42",пар,2.0,5839.74,,,,,2.0,5839.74
20221,105.35,02-000000002540,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.43",пар,3.0,8759.61,,,,,3.0,8759.61
20221,105.35,02-000000002541,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.44",пар,2.0,5839.74,,,,,2.0,5839.74
20221,105.35,02-000000002542,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.45",пар,2.0,5839.74,,,,,2.0,5839.74
20221,105.35,02-000000002554,Полумаска изолирующая UNIX 1000 (большой размер),шт,1.0,861.12,,,,,1.0,861.12
20221,105.35,02-000000002555,Фильтр UNIX 522 марки А2В2Е2,упак,4.0,2695.84,,,,,4.0,2695.84
20221,105.35,02-000000002556,Фильтр противоаэрозольный UNIX Р2,упак,8.0,1300.64,,,,,8.0,1300.64
20221,105.35,02-000000002560,Халат мужской р. 104-108/182-188,шт,1.0,1028.63,,,,,1.0,1028.63
20221,105.36,02-000000001414,Аптечка для оказания первой помощи работникам (пластиковый шкаф 250мм*300мм*110мм) ФЭСТ.(Изготовлена в соответствии с Приказов Минздравсоцразвития РФ,шт,13.0,10580.83,,,,,13.0,10580.83
20221,105.36,02-000000002711,"Бланк «Письмо» (А4), тираж свыше 2000 экз.",шт,15000.0,37500.0,,,15000.0,37500.0,,
20221,105.36,02-000000002712,"Бланк «Приказ» (А4), тираж свыше 2000 экз.",шт,8000.0,20000.0,,,8000.0,20000.0,,
20221,105.36,02-000000002793,Брелок-ретрактор со смоляной наклейкой,шт,750.0,121800.0,,,750.0,121800.0,,
20221,105.36,02-000000003120,"Бумага  офисная ф. А4, 80 г/м2, 500 л. в пачке",пач,,,1050.0,598500.0,210.0,119700.0,840.0,478800.0
20221,105.36,02-000000001220,"Бумага для офисной техники IQ Allround А3, класса В+, 80 г/м2, 500л.",упак,115.0,50927.38,,,15.0,6642.69,100.0,44284.69
20221,105.36,02-000000001219,"Бумага для офисной техники IQ Allround А4, класса В, 80 г/м2, 500л.",шт,29.0,6355.93,,,29.0,6355.93,,
20221,105.36,02-000000000791,Бумажные полотенца листовые с Z сложением,пачка,,,180.0,12600.0,180.0,12600.0,,
20221,105.36,02-000000001381,Бур 12*560,шт,1.0,417.5,,,,,1.0,417.5
20221,105.36,02-000000002961,Бур по бетону Gigant 6х110 SDS Plus,шт,,,5.0,348.8,,,5.0,348.8
20221,105.36,02-000000002966,Валик STAYER PROFI NYLON 0316-24,шт,,,2.0,803.52,,,2.0,803.52
20221,105.36,02-000000002965,Валик для водных красок Dexter 250 мм,шт,,,6.0,1062.72,,,6.0,1062.72
20221,105.36,02-000000001368,Валик малярный с ручкой 250мм,к-т,1.0,208.75,,,,,1.0,208.75
20221,105.36,02-000000002968,Валик СИБРТЕХ ВЕЛЮР 801326*36*100мм,шт,,,2.0,216.0,,,2.0,216.0
20221,105.36,02-000000001365,Ванночка для краски,шт,6.0,400.8,,,,,6.0,400.8
20221,105.36,02-000000003115,Визитные карточки 2 сторонние (100 шт./комп.),компл,,,7.0,5223.75,7.0,5223.75,,
20221,105.36,02-000000002159,"Винт самонарезной ШСГД редкая резьба 4,2*76",упак,1.0,302.25,,,,,1.0,302.25
20221,105.36,02-000000003114,"Вода питьевая ""Королевская вода"", 19л",шт,,,500.0,108000.0,226.0,48816.0,274.0,59184.0
20221,105.36,02-000000001077,"вода питьевая ""МИЯ"" 0,33 л. 24 бут/упак.",упак,193.0,98244.72,,,130.0,66175.2,63.0,32069.52
20221,105.36,02-000000002715,"Вода питьевая бутилированная, объём 19 (девятнадцать) литров Торговой марки МИЯ (включая предоставление кулеров 2-х режимных –не менее 21 (двадцать од",упак,429.0,68296.8,,,429.0,68296.8,,
20221,105.36,02-000000002976,"Вытяжная заклёпка комбинированная 3,2х10 алюминий/сталь",упак,,,3.0,311.04,,,3.0,311.04
20221,105.36,02-000000003119,"Губка для мытья посуды, колич. губок в упаковке 5 шт",упак,,,140.0,4900.0,140.0,4900.0,,
20221,105.36,02-000000001314,Дезинфицирующий гель для рук MERIDA (Картридж 700 мл.),шт,21.0,11854.74,,,21.0,11854.74,,
