Name,Params,Price,Category,KPGZ Code,KPGZ,SPGZ Code,SPGZ
"Чайник электрический; Объем 1.00000; Электронное; 120.00000 мeс; 245.00000 мм; 150.00000 мм; 2,400.00000; 210.00000 мм","['Мощность', 'Объем', 'Индикатор уровня воды', 'Подсветка ', 'Ширина', 'Вес', 'Высота', 'Глубина', 'Вид нагревательного элемента', 'Длина шнура', 'Функция автоматического отключения при отсутствии воды', 'Функция автоматического отключения при закипании воды', 'Фильтр от накипи', 'Звуковой сигнал при закипании', 'Индикатор включения', 'Чашки в комплекте', 'Вращение на 360°']",NULL,Электрочайники бытовые,01.20.01.03.01.01,ЭЛЕКТРОЧАЙНИКИ БЫТОВЫЕ,NULL,NULL
"Кофемашина DELONGHI ECAM 22.110.B, 1450 Вт, объем 1,8 л, емкость для зерен 250 г, ручной капучинатор, черная","['Объем резервуара для воды', 'Давление', 'Регулировка степени помола', 'Возможность подключения к водопроводу', 'Встроенная кофемолка', 'Подогрев чашек', 'Комплектация', 'Материал жерновов', 'Мощность', 'Высота', 'Глубина', 'Ширина', 'Емкость резервуара для зерен', 'Емкость для молока', 'Вес', 'Регулировка температуры кофе', 'Используемый кофе', 'Съемный лоток для сбора капель', 'Одновременное приготовление двух чашек', 'Тип нагревателя', 'Регулировка крепости кофе', 'Регулируемый по высоте дозатор', 'Автоматическая программа очистки от накипи', 'Дисплей', 'Bluetooth встроенный', 'Автоматическая программа очистки от кофейного жира', 'Подача горячей воды', 'Капучинатор', 'Масса']",NULL,Электрокофеварки бытовые,01.20.01.03.02,ЭЛЕКТРОКОФЕВАРКИ БЫТОВЫЕ,NULL,NULL
Папка-уголок,['NULL'],168.00,Папки пластиковые,01.15.03.17.05,ПАПКИ ПЛАСТИКОВЫЕ,NULL,NULL
Кресло офисное Бюрократ CH-868AXSN экокожа черное,"['Максимальная нагрузка', 'Цвет', 'Материал обивки', 'Тип механизма качания', 'Сетчатая спинка', 'Крестовина  и подлокотники', 'Подлокотники', 'Требует сборки', 'Ширина', 'Максимальная высота', 'Минимальная высота до сиденья', 'Сиденье глубина', 'Масса', 'Сиденье ширина', 'Спинка высота', 'Спинка ширина', 'Максимальная высота сиденья', 'Минимальная высота кресла ']",NULL,Кресла офисные,01.16.04.01,КРЕСЛА ОФИСНЫЕ,NULL,NULL
"Холодильник INDESIT TT 85.005, общий объем 122 л, морозильная камера 14 л, 60x62x85 см, цвет дерево","['Антибактериальное покрытие', 'Второй компрессор', 'Глубина', 'Количество отделений в морозильной камере', 'Количество полок в холодильном отделении', 'Вес', 'Объем морозильной камеры', 'Объем холодильной камеры', 'Перевешиваемые двери', 'Хладогент']",NULL,Холодильники бытовые,01.20.01.04.01,ХОЛОДИЛЬНИКИ БЫТОВЫЕ,NULL,NULL
"Холодильник INDESIT ST 167, общий объем 300 л, верхняя морозильная камера 53 л, 60x66,5x167 см, белый","['Уровень шума', 'Количество камер в холодильнике', 'Количество отделений в морозильной камере', 'Хладогент', 'Глубина', 'Вес', 'Объем морозильной камеры', 'Объем холодильной камеры', 'Общий объем холодильника', 'Инверторный тип холодильника', 'Наличие системы размораживания', 'Наличие системы размораживания', 'Количество полок в холодильном отделении', 'Перевешиваемые двери', 'Антибактериальное покрытие', 'Второй компрессор', 'Тип товара']",NULL,Холодильники бытовые,01.20.01.04.01,ХОЛОДИЛЬНИКИ БЫТОВЫЕ,NULL,NULL
"Сейф мебельный Сейф (к1) VALBERG ASM-120TEL мебельный, эл.замок","['Серия', 'Гарантийный срок', 'Тип замка', 'Высота', 'Наличие в салоне', 'Ширина', 'Глубина', 'Ценовая категория', 'Наименование модели', 'Возможность крепления к полу или стене', 'С трейзером', 'С аварийным ключом', 'Типоразмер сейфа', 'Внутренние размеры', 'В собранном виде', 'Количество полок', 'Цвет']",NULL,Сейфы прочие,01.16.17.02,СЕЙФЫ ПРОЧИЕ,NULL,NULL
"Сейф офисный VALBERG ""ASM-63T EL"", 630х440х355 мм, электронный замок, трейзер","['Защита замка от высверливания', 'Класс взломостойкости сейфа', 'Количество полок', 'Масса', 'Наличие трейзера', 'Предусмотрена возможность анкерного крепления к полу и стене', 'Размеры', 'Тип замка', 'Толщина боковых стенок', 'Толщина лицевой панели', 'Цвет', 'Толщина задней стенки']",31334.25,Сейфы прочие,01.16.17.02,СЕЙФЫ ПРОЧИЕ,NULL,NULL
"Батарейки КОМПЛЕКТ 4 шт., SONNEN Alkaline, АА (LR6, 15А), алкалиновые, пальчиковые, блистер","['Количество в упаковке', 'Напряжение номинальное', 'Упаковка', 'Тип электролита элемента питания', 'Размер элемента питания', 'Форма элемента питания', 'Вес']",135.92,Батареи аккумуляторные литиевые и щелочные,01.10.04.03.09,БАТАРЕИ АККУМУЛЯТОРНЫЕ ЛИТИЕВЫЕ И ЩЕЛОЧНЫЕ,NULL,NULL
"Сетевой фильтр DEFENDER ES, 5 розеток, 5 м, белый","['Usb разъем', 'Вес', 'Высота', 'Длина кабеля', 'Длина шнура', 'Защита', 'Наличие шторок на розетках', 'Индивидуальные выключатели розеток', 'Наличие выключателя на корпусе', 'Цвет', 'Количество розеток', 'Напряжение', 'Максимальная рассеиваемая энергия', 'Материал корпуса', 'Суммарная мощность нагрузки', 'Номинальная частота', 'Ширина', 'Крепление на стену', 'Корпус из негорючего материала', 'Сила тока.']",819.25,Фильтры сетевые,01.13.07.05.13,ФИЛЬТРЫ СЕТЕВЫЕ,3346988,"Оборудование балансировки сетевого траффика, компл"
