name,warehouse_amount,warehouse_cost,category,start_amount_20221,start_cost_20221,plus_amount_20221,plus_cost_20221,minus_amount_2021,minus_cost_20221,end_amount_20221,end_cost_20221,Code,Measure,start_amount_20222,start_cost_20222,plus_amount_20222,plus_cost_20222,minus_amount_20222,minus_cost_20222,end_amount_20222,end_cost_20222,start_amount_20223,start_cost_20223,plus_amount_20223,plus_cost_20223,minus_amount_2023,minus_cost_20223,end_amount_20223,end_cost_20223,start_amount_20224,start_cost_20224,plus_amount_20224,plus_cost_20224,minus_amount_2024,minus_cost_20224,end_amount_20224,end_cost_20224
101Станция рабочая на два рабочих места друг напротив друга,60,0.0,101.36,60.0,748350.0,0.0,0.0,0.0,0.0,60.0,748350.0,02-0000000017,ед,60.0,748350.0,0.0,0.0,0.0,0.0,60.0,748350.0,60.0,748350.0,0.0,0.0,0.0,0.0,60.0,748350.0,60.0,748350.0,0.0,0.0,0.0,0.0,60.0,748350.0
Domino URO100,5,36375.0,21.36,5.0,36375.0,0.0,0.0,0.0,0.0,5.0,36375.0,02-0000000017,ед,5.0,36375.0,0.0,0.0,0.0,0.0,5.0,36375.0,5.0,36375.0,0.0,0.0,0.0,0.0,5.0,36375.0,5.0,36375.0,0.0,0.0,0.0,0.0,5.0,36375.0
Domino URO120,5,39750.0,21.36,5.0,39750.0,0.0,0.0,0.0,0.0,5.0,39750.0,02-0000000017,ед,5.0,39750.0,0.0,0.0,0.0,0.0,5.0,39750.0,5.0,39750.0,0.0,0.0,0.0,0.0,5.0,39750.0,5.0,39750.0,0.0,0.0,0.0,0.0,5.0,39750.0
IPкамера Dahua DHIPCHDBW91325RPSL в комплекте с кабелем UTP Caplex IZC4U50,16,0.0,101.34,16.0,864696.0,0.0,0.0,0.0,0.0,16.0,864696.0,02-0000000017,ед,16.0,864696.0,0.0,0.0,0.0,0.0,16.0,864696.0,16.0,864696.0,0.0,0.0,0.0,0.0,16.0,864696.0,16.0,864696.0,0.0,0.0,0.0,0.0,16.0,864696.0
IPкамера Dahua DHIPCHDBW91325RPSL в комплекте с кабелем UTP Caplex IZC4U50301B305,1,0.0,101.34,1.0,54043.5,0.0,0.0,0.0,0.0,1.0,54043.5,02-0000000017,ед,1.0,54043.5,0.0,0.0,0.0,0.0,1.0,54043.5,1.0,54043.5,0.0,0.0,0.0,0.0,1.0,54043.5,1.0,54043.5,0.0,0.0,0.0,0.0,1.0,54043.5
IPкамера Dahua DHIPCHDBW91325RPSL тип 2,23,0.0,101.36,23.0,1149132.97,0.0,0.0,0.0,0.0,23.0,1149132.97,02-0000000017,ед,23.0,1149132.97,0.0,0.0,0.0,0.0,23.0,1149132.97,23.0,1149132.97,0.0,0.0,0.0,0.0,23.0,1149132.97,23.0,1149132.97,0.0,0.0,0.0,0.0,23.0,1149132.97
IPкамера Dahua DHIPCHFW91325EPZE тип 1,2,0.0,101.36,2.0,96241.98,0.0,0.0,0.0,0.0,2.0,96241.98,02-0000000017,ед,2.0,96241.98,0.0,0.0,0.0,0.0,2.0,96241.98,2.0,96241.98,0.0,0.0,0.0,0.0,2.0,96241.98,2.0,96241.98,0.0,0.0,0.0,0.0,2.0,96241.98
IPкамера Dahua DHIPCK35X тип 3,2,0.0,101.36,2.0,57867.2,0.0,0.0,0.0,0.0,2.0,57867.2,02-0000000017,ед,2.0,57867.2,0.0,0.0,0.0,0.0,2.0,57867.2,2.0,57867.2,0.0,0.0,0.0,0.0,2.0,57867.2,2.0,57867.2,0.0,0.0,0.0,0.0,2.0,57867.2
IPкамера купольная RViIPC33VS 28 мм,1,0.0,101.34,1.0,11192.84,0.0,0.0,0.0,0.0,1.0,11192.84,02-0000000017,ед,1.0,11192.84,0.0,0.0,0.0,0.0,1.0,11192.84,1.0,11192.84,0.0,0.0,0.0,0.0,1.0,11192.84,1.0,11192.84,0.0,0.0,0.0,0.0,1.0,11192.84
IPкамера купольная RViIPC33VS 28 мм система видеонаблюдения,7,0.0,101.34,7.0,78348.97,0.0,0.0,0.0,0.0,7.0,78348.97,02-0000000017,ед,7.0,78348.97,0.0,0.0,0.0,0.0,7.0,78348.97,7.0,78348.97,0.0,0.0,0.0,0.0,7.0,78348.97,7.0,78348.97,0.0,0.0,0.0,0.0,7.0,78348.97
Metado BS18 шуруповерт 602207560,2,13212.68,21.36,2.0,13212.68,0.0,0.0,0.0,0.0,2.0,13212.68,02-0000000017,ед,2.0,13212.68,0.0,0.0,0.0,0.0,2.0,13212.68,2.0,13212.68,0.0,0.0,0.0,0.0,2.0,13212.68,2.0,13212.68,0.0,0.0,0.0,0.0,2.0,13212.68
Автоматизированной системы хранения ключей АСХК,1,551105.86,101.34,1.0,590470.54,0.0,0.0,0.0,0.0,1.0,590470.54,02-0000000017,ед,1.0,590470.54,0.0,0.0,0.0,0.0,1.0,590470.54,1.0,590470.54,0.0,0.0,0.0,0.0,1.0,590470.54,1.0,590470.54,0.0,0.0,0.0,0.0,1.0,590470.54
Аппарат питьевой воды,2,0.0,101.36,2.0,82080.0,0.0,0.0,0.0,0.0,2.0,82080.0,02-0000000017,ед,2.0,82080.0,0.0,0.0,0.0,0.0,2.0,82080.0,2.0,82080.0,0.0,0.0,0.0,0.0,2.0,82080.0,2.0,82080.0,0.0,0.0,0.0,0.0,2.0,82080.0
Аппарат питьевой воды DWP  340,2,0.0,101.36,2.0,85160.0,0.0,0.0,0.0,0.0,2.0,85160.0,02-0000000017,ед,2.0,85160.0,0.0,0.0,0.0,0.0,2.0,85160.0,2.0,85160.0,0.0,0.0,0.0,0.0,2.0,85160.0,2.0,85160.0,0.0,0.0,0.0,0.0,2.0,85160.0
Аппарат питьевой воды WFP2200,8,0.0,101.36,8.0,372625.48,0.0,0.0,0.0,0.0,8.0,372625.48,02-0000000017,ед,8.0,372625.48,0.0,0.0,0.0,0.0,8.0,372625.48,8.0,372625.48,0.0,0.0,0.0,0.0,8.0,372625.48,8.0,372625.48,0.0,0.0,0.0,0.0,8.0,372625.48
Аптечка для оказания первой помощи работникам пластиковый шкаф 250мм300мм110мм ФЭСТИзготовлена в соответствии с Приказов Минздравсоцразвития РФ,13,10580.83,105.36,13.0,10580.83,0.0,0.0,0.0,0.0,13.0,10580.83,02-000000001414,шт,13.0,10580.83,0.0,0.0,0.0,0.0,13.0,10580.83,13.0,10580.83,0.0,0.0,0.0,0.0,13.0,10580.83,13.0,10580.83,0.0,0.0,0.0,0.0,13.0,10580.83
Биометрическая система СКУД,1,145199.93,101.34,1.0,203279.93,0.0,0.0,0.0,0.0,1.0,203279.93,02-0000000017,ед,1.0,203279.93,0.0,0.0,0.0,0.0,1.0,203279.93,1.0,203279.93,0.0,0.0,0.0,0.0,1.0,203279.93,1.0,203279.93,0.0,0.0,0.0,0.0,1.0,203279.93
Блок питания БИРП121,2,0.0,101.34,2.0,20009.32,0.0,0.0,0.0,0.0,2.0,20009.32,02-0000000017,ед,2.0,20009.32,0.0,0.0,0.0,0.0,2.0,20009.32,2.0,20009.32,0.0,0.0,0.0,0.0,2.0,20009.32,2.0,20009.32,0.0,0.0,0.0,0.0,2.0,20009.32
Боковая приставка правая,1,0.0,101.36,1.0,6619.8,0.0,0.0,0.0,0.0,1.0,6619.8,02-0000000017,ед,1.0,6619.8,0.0,0.0,0.0,0.0,1.0,6619.8,1.0,6619.8,0.0,0.0,0.0,0.0,1.0,6619.8,1.0,6619.8,0.0,0.0,0.0,0.0,1.0,6619.8
Брифинг для стола руководителя,2,0.0,101.36,2.0,30658.46,0.0,0.0,0.0,0.0,2.0,30658.46,02-0000000017,ед,2.0,30658.46,0.0,0.0,0.0,0.0,2.0,30658.46,2.0,30658.46,0.0,0.0,0.0,0.0,2.0,30658.46,2.0,30658.46,0.0,0.0,0.0,0.0,2.0,30658.46
Брифинг для стола руководителя Соренто,3,0.0,101.36,3.0,40596.0,0.0,0.0,0.0,0.0,3.0,40596.0,02-0000000017,ед,3.0,40596.0,0.0,0.0,0.0,0.0,3.0,40596.0,3.0,40596.0,0.0,0.0,0.0,0.0,3.0,40596.0,3.0,40596.0,0.0,0.0,0.0,0.0,3.0,40596.0
Брифинг приставка Geradom GD1235,5,0.0,101.36,5.0,40000.0,0.0,0.0,0.0,0.0,5.0,40000.0,02-0000000017,ед,5.0,40000.0,0.0,0.0,0.0,0.0,5.0,40000.0,5.0,40000.0,0.0,0.0,0.0,0.0,5.0,40000.0,5.0,40000.0,0.0,0.0,0.0,0.0,5.0,40000.0
Брифингприставка,1,0.0,101.36,1.0,6336.6,0.0,0.0,0.0,0.0,1.0,6336.6,02-0000000017,ед,1.0,6336.6,0.0,0.0,0.0,0.0,1.0,6336.6,1.0,6336.6,0.0,0.0,0.0,0.0,1.0,6336.6,1.0,6336.6,0.0,0.0,0.0,0.0,1.0,6336.6
Брифингприставка для стола руководителя,4,30729.54,21.36,4.0,30729.54,0.0,0.0,0.0,0.0,4.0,30729.54,02-0000000017,ед,4.0,30729.54,0.0,0.0,0.0,0.0,4.0,30729.54,4.0,30729.54,0.0,0.0,0.0,0.0,4.0,30729.54,4.0,30729.54,0.0,0.0,0.0,0.0,4.0,30729.54
Брифингприставка к столу руководителя,3,29797.949999999997,21.36,3.0,29797.949999999997,0.0,0.0,0.0,0.0,3.0,29797.949999999997,02-0000000017,ед,3.0,29797.949999999997,0.0,0.0,0.0,0.0,3.0,29797.949999999997,3.0,29797.949999999997,0.0,0.0,0.0,0.0,3.0,29797.949999999997,3.0,29797.949999999997,0.0,0.0,0.0,0.0,3.0,29797.949999999997
Бумага для офисной техники IQ Allround А3,52,23028.04,105.36,115.0,50927.38,0.0,0.0,15.0,6642.69,100.0,44284.69,02-000000001220,упак,100.0,44284.69,0.0,0.0,15.0,6642.7,85.0,37641.99,85.0,37641.99,0.0,0.0,25.0,11071.17,60.0,26570.82,60.0,26570.82,0.0,0.0,8.0,3542.78,52.0,23028.04
Бур 12560,1,417.5,105.36,1.0,417.5,0.0,0.0,0.0,0.0,1.0,417.5,02-000000001381,шт,1.0,417.5,0.0,0.0,0.0,0.0,1.0,417.5,1.0,417.5,0.0,0.0,0.0,0.0,1.0,417.5,1.0,417.5,0.0,0.0,0.0,0.0,1.0,417.5
Бур по бетону Gigant 6х110 SDS Plus,5,348.8,105.36,0.0,0.0,5.0,348.8,0.0,0.0,5.0,348.8,02-000000002961,шт,5.0,348.8,0.0,0.0,0.0,0.0,5.0,348.8,5.0,348.8,0.0,0.0,0.0,0.0,5.0,348.8,5.0,348.8,0.0,0.0,0.0,0.0,5.0,348.8
Валик STAYER PROFI NYLON 031624,2,803.52,105.36,0.0,0.0,2.0,803.52,0.0,0.0,2.0,803.52,02-000000002966,шт,2.0,803.52,0.0,0.0,0.0,0.0,2.0,803.52,2.0,803.52,0.0,0.0,0.0,0.0,2.0,803.52,2.0,803.52,0.0,0.0,0.0,0.0,2.0,803.52
Валик СИБРТЕХ ВЕЛЮР 80132636100мм,1,108.0,105.36,0.0,0.0,2.0,216.0,0.0,0.0,2.0,216.0,02-000000002968,шт,2.0,216.0,0.0,0.0,0.0,0.0,2.0,216.0,2.0,216.0,0.0,0.0,0.0,0.0,2.0,216.0,2.0,216.0,0.0,0.0,1.0,108.0,1.0,108.0
Валик для водных красок Dexter 250 мм,6,1062.72,105.36,0.0,0.0,6.0,1062.72,0.0,0.0,6.0,1062.72,02-000000002965,шт,6.0,1062.72,0.0,0.0,0.0,0.0,6.0,1062.72,6.0,1062.72,0.0,0.0,0.0,0.0,6.0,1062.72,6.0,1062.72,0.0,0.0,0.0,0.0,6.0,1062.72
Валик малярный с ручкой 250мм,1,208.75,105.36,1.0,208.75,0.0,0.0,0.0,0.0,1.0,208.75,02-000000001368,к-т,1.0,208.75,0.0,0.0,0.0,0.0,1.0,208.75,1.0,208.75,0.0,0.0,0.0,0.0,1.0,208.75,1.0,208.75,0.0,0.0,0.0,0.0,1.0,208.75
Ванночка для краски,6,400.8,105.36,6.0,400.8,0.0,0.0,0.0,0.0,6.0,400.8,02-000000001365,шт,6.0,400.8,0.0,0.0,0.0,0.0,6.0,400.8,6.0,400.8,0.0,0.0,0.0,0.0,6.0,400.8,6.0,400.8,0.0,0.0,0.0,0.0,6.0,400.8
Весы ВП36КСД,2,0.0,101.36,2.0,28208.0,0.0,0.0,0.0,0.0,2.0,28208.0,02-0000000017,ед,2.0,28208.0,0.0,0.0,0.0,0.0,2.0,28208.0,2.0,28208.0,0.0,0.0,0.0,0.0,2.0,28208.0,2.0,28208.0,0.0,0.0,0.0,0.0,2.0,28208.0
Вешалка М6 цвет черный,25,64250.0,21.36,25.0,64250.0,0.0,0.0,0.0,0.0,25.0,64250.0,02-0000000017,ед,25.0,64250.0,0.0,0.0,0.0,0.0,25.0,64250.0,25.0,64250.0,0.0,0.0,0.0,0.0,25.0,64250.0,25.0,64250.0,0.0,0.0,0.0,0.0,25.0,64250.0
Вешалка напольная Geradom GD1621,10,15000.0,21.36,10.0,15000.0,0.0,0.0,0.0,0.0,10.0,15000.0,02-0000000017,ед,10.0,15000.0,0.0,0.0,0.0,0.0,10.0,15000.0,10.0,15000.0,0.0,0.0,0.0,0.0,10.0,15000.0,10.0,15000.0,0.0,0.0,0.0,0.0,10.0,15000.0
Вешалка напольная КР10 черный стойка  вешалка,30,56608.5,21.36,30.0,56608.5,0.0,0.0,0.0,0.0,30.0,56608.5,02-0000000017,ед,30.0,56608.5,0.0,0.0,0.0,0.0,30.0,56608.5,30.0,56608.5,0.0,0.0,0.0,0.0,30.0,56608.5,30.0,56608.5,0.0,0.0,0.0,0.0,30.0,56608.5
