Quarter,Category,Name,End Amount,End Cost
20222,105.34,410.4,2,820.8
20222,105.34,475.2,3,1425.6
20222,105.34,799.2,3,2397.6
20222,105.34,22.24,70,1556.8
20222,105.35,2115.46,2,4230.92
20222,105.35,81.29,2,162.58
20222,105.35,3475.68,4,13902.72
20222,105.35,3475.68,2,6951.36
20222,105.35,3475.68,10,34756.8
20222,105.35,2257.25,1,2257.25
20222,105.35,409.29,1,409.29
20222,105.35,33.08,40,1323.2
20222,105.35,1751.59,3,5254.77
20222,105.35,1751.59,1,1751.59
20222,105.35,2919.87,2,5839.74
20222,105.35,2919.87,3,8759.61
20222,105.35,2919.87,2,5839.74
20222,105.35,2919.87,2,5839.74
20222,105.35,861.12,1,861.12
20222,105.35,5160,2,10320.0
20222,105.35,5390,2,10780.0
20222,105.35,673.96,4,2695.84
20222,105.35,162.58,8,1300.64
20222,105.35,1028.63,1,1028.63
20222,105.36,39.6,400,15840.0
20222,105.36,813.91,13,10580.83
20222,105.36,570,305,173850.0
20222,105.36,442.85,85,37641.99
20222,105.36,417.5,1,417.5
20222,105.36,69.76,5,348.8
20222,105.36,401.76,2,803.52
20222,105.36,177.12,6,1062.72
20222,105.36,208.75,1,208.75
20222,105.36,108,2,216.0
20222,105.36,66.8,6,400.8
20222,105.36,746.25,6,4477.5
20222,105.36,302.25,1,302.25
20222,105.36,216,45,9720.0
20222,105.36,523.46,193,101027.44
20222,105.36,103.68,3,311.04
20222,105.36,286.31,7,2004.17
20222,105.36,14.6,170,2482.0
20222,105.36,45.8,4,183.2
20222,105.36,55.55,5,277.75
20222,105.36,129.6,3,388.8
20222,105.36,2561.76,1,2561.76
20222,105.36,110,6,660.0
20222,105.36,124,3,372.0
20222,105.36,28,14,392.0
20222,105.36,28,31,868.0
20222,105.36,28,20,560.0
20222,105.36,28,100,2800.0
20222,105.36,28,30,840.0
20222,105.36,113.43,55,6238.65
20222,105.36,107.46,40,4298.4
20222,105.36,113.43,15,1701.45
20222,105.36,113.43,15,1701.45
20222,105.36,133.33,15,1999.95
20222,105.36,113.43,15,1701.45
20222,105.36,113.43,15,1701.45
20222,105.36,41.75,15,626.25
20222,105.36,58.45,220,12859.0
20222,105.36,47,58,2726.0
20222,105.36,50.1,16,801.6
20222,105.36,97.5,10,975.0
20222,105.36,417.5,2,835.0
20222,105.36,250.5,1,250.5
20222,105.36,334,2,668.0
20222,105.36,757.61,7,5303.27
20222,105.36,13190.85,2,26381.7
20222,105.36,64.94,150,9741.0
20222,105.36,63.84,58,3702.72
20222,105.36,219.96,3,659.88
20222,105.36,679.34,5,3396.7
20222,105.36,630.86,29,18295.05
20222,105.36,146.25,11,1608.75
20222,105.36,83.5,4,334.0
20222,105.36,682.5,1,682.5
20222,105.36,172.8,6,1036.8
20222,105.36,819.95,1,819.95
20222,105.36,1164.15,1,1164.15
20222,105.36,676.6,1,676.6
20222,105.36,2068.5,2,4137.0
20222,105.36,19.04,16,304.64
20222,105.36,267641.64,1,267641.64
20222,105.36,452.08,1,452.08
20222,105.36,259.35,2,518.7
20222,105.36,208.75,2,417.5
20222,105.36,54.95,1,54.95
20222,105.36,147.12,2,294.24
